"Task ID","Category","Description","Affected Tasks","Priority","Status","Owner","Due Date","Resolution","Notes"
"PLAN-FIX-001","Cross-Sprint","Resolve ENV-017-AI dependency on IFC-001 (Sprint 1)","ENV-017-AI","Critical","Completed","Tech Lead","2025-12-17","override_deps_remove in plan-overrides.yaml","ENV-017-AI depends on IFC-001 which is Sprint 1. Override removes this dependency and adds stub_contract exception policy."
"PLAN-FIX-002","Validation","Add validation.yaml entry for AI-SETUP-003","AI-SETUP-003","High","Planned","AI Specialist","2025-12-20","Add validation commands","External AI tools integration needs security sandbox validation."
"PLAN-FIX-003","Validation","Add validation.yaml entry for AUTOMATION-001","AUTOMATION-001","High","Planned","AI Specialist","2025-12-20","Add validation commands","Multi-agent orchestration needs agent tests."
"PLAN-FIX-004","Validation","Add validation.yaml entry for AUTOMATION-002","AUTOMATION-002","Medium","Planned","DevOps Engineer","2025-12-20","Add validation commands","AI dashboard needs dashboard tests."
"PLAN-FIX-005","Validation","Add validation.yaml entry for ENV-002-AI","ENV-002-AI","High","Planned","DevOps Engineer","2025-12-18","Add validation commands","ESLint/Prettier/Husky configuration validation."
"PLAN-FIX-006","Validation","Add validation.yaml entry for ENV-006-AI","ENV-006-AI","High","Planned","Backend Dev","2025-12-18","Add validation commands","Prisma schema validation and migration status."
"PLAN-FIX-007","Validation","Add validation.yaml entry for ENV-007-AI","ENV-007-AI","High","Planned","Tech Lead","2025-12-18","Add validation commands","tRPC setup validation and type coverage."
"PLAN-FIX-008","Validation","Add validation.yaml entry for ENV-008-AI","ENV-008-AI","Medium","Planned","DevOps Engineer","2025-12-20","Add validation commands","OpenTelemetry configuration validation."
"PLAN-FIX-009","Validation","Add validation.yaml entry for ENV-009-AI","ENV-009-AI","High","Planned","Frontend Dev","2025-12-18","Add validation commands","Next.js/shadcn validation with Lighthouse checks."
"PLAN-FIX-010","Validation","Add validation.yaml entry for ENV-011-AI","ENV-011-AI","Medium","Planned","AI Specialist","2025-12-20","Add validation commands","LangChain chain execution tests."
"PLAN-FIX-011","Validation","Add validation.yaml entry for ENV-012-AI","ENV-012-AI","Low","Planned","Tech Writer","2025-12-22","Add validation commands","Documentation build validation."
"PLAN-FIX-012","Validation","Add validation.yaml entry for ENV-013-AI","ENV-013-AI","High","Planned","Security Engineer","2025-12-18","Add validation commands","Security implementation validation with OWASP checks."
"PLAN-FIX-013","Validation","Add validation.yaml entry for ENV-015-AI","ENV-015-AI","Low","Planned","Backend Dev","2025-12-22","Add validation commands","Feature flags validation."
"PLAN-FIX-014","Validation","Add validation.yaml entry for ENV-016-AI","ENV-016-AI","Low","Planned","Frontend Dev","2025-12-22","Add validation commands","Privacy analytics validation."
"PLAN-FIX-015","Validation","Add validation.yaml entry for ENV-017-AI","ENV-017-AI","Medium","Planned","Tech Lead","2025-12-20","Add validation commands","Integration testing validation."
"PLAN-FIX-016","Validation","Add validation.yaml entry for ENV-018-AI","ENV-018-AI","Medium","Planned","PM","2025-12-20","Add validation commands","Sprint planning metrics validation."
"PLAN-FIX-017","Validation","Add validation.yaml entry for IFC-000","IFC-000","Critical","Planned","CEO","2025-12-18","Add manual review validation","Feasibility assessment requires leadership sign-off."
"PLAN-FIX-018","Tier Metadata","Ensure all Tier A tasks have complete gate_profile","EXC-INIT-001,AI-SETUP-001,ENV-001-AI,ENV-002-AI,ENV-003-AI,ENV-004-AI,ENV-005-AI,ENV-006-AI,ENV-007-AI,ENV-009-AI,ENV-013-AI,EXC-SEC-001,IFC-000","High","Completed","Tech Lead","2025-12-17","Updated plan-overrides.yaml","All 14 Tier A tasks now have gate_profile defined."
"PLAN-FIX-019","Tier Metadata","Ensure all Tier A tasks have acceptance_owner","EXC-INIT-001,AI-SETUP-001,ENV-001-AI,ENV-002-AI,ENV-003-AI,ENV-004-AI,ENV-005-AI,ENV-006-AI,ENV-007-AI,ENV-009-AI,ENV-013-AI,EXC-SEC-001,IFC-000","High","Completed","Tech Lead","2025-12-17","Updated plan-overrides.yaml","All Tier A tasks now have acceptance_owner defined."
"PLAN-FIX-020","Tier Metadata","Ensure all Tier A tasks have evidence_required","EXC-INIT-001,AI-SETUP-001,ENV-001-AI,ENV-002-AI,ENV-003-AI,ENV-004-AI,ENV-005-AI,ENV-006-AI,ENV-007-AI,ENV-009-AI,ENV-013-AI,EXC-SEC-001,IFC-000","High","Completed","Tech Lead","2025-12-17","Updated plan-overrides.yaml","All Tier A tasks now have evidence_required defined."
"PLAN-FIX-021","Documentation","Create ADR for ENV-017-AI dependency override","ENV-017-AI","Medium","Planned","Tech Lead","2025-12-20","Create docs/planning/adr/ADR-PLAN-001-env017-dependency.md","Document rationale for removing IFC-001 dependency."
"PLAN-FIX-022","CI Integration","Add plan-lint script to root package.json","","High","Completed","DevOps Engineer","2025-12-17","Add pnpm run plan-lint script","CI will run plan-lint on PRs modifying Sprint_plan.csv."
"PLAN-FIX-023","CI Integration","Create CI workflow for plan validation",".github/workflows/ci.yml","High","Planned","DevOps Engineer","2025-12-18","Add plan-lint job to CI workflow","Workflow triggers on Sprint_plan.csv or plan-overrides.yaml changes."
"PLAN-FIX-024","Governance","Create plan-change-log.md template","","Medium","Completed","Tech Lead","2025-12-17","Create docs/plan-change-log.md","Append-only change log for Sprint plan modifications."
"PLAN-FIX-025","Governance","Create plan-governance.md documentation","","Medium","Completed","Tech Lead","2025-12-17","Create docs/plan-governance.md","Document CSV-as-code policy and PR requirements."
"PLAN-FIX-026","Schema","Create evidence-pack-schema.yaml","","Medium","Completed","Tech Lead","2025-12-17","Create docs/evidence-pack-schema.yaml","Schema for task completion evidence packs."
"PLAN-FIX-027","Schema","Create debt-ledger.yaml","","Medium","Completed","Tech Lead","2025-12-17","Create docs/debt-ledger.yaml","Track technical debt items with expiry dates."
