"original_path","new_path","reason","timestamp"
"apps\project-tracker\docs\metrics\backups\sprint-plan-20251218-232131.csv","artifacts\backups\sprint-plan\sprint-plan-20251218-232131.csv","CSV backups are runtime artifacts","2025-12-19T22:25:28Z"
"apps\project-tracker\docs\metrics\backups\sprint-plan-20251218-232314.csv","artifacts\backups\sprint-plan\sprint-plan-20251218-232314.csv","CSV backups are runtime artifacts","2025-12-19T22:25:28Z"
"apps\project-tracker\docs\metrics\backups\sprint-plan-20251218-233538.csv","artifacts\backups\sprint-plan\sprint-plan-20251218-233538.csv","CSV backups are runtime artifacts","2025-12-19T22:25:28Z"
"apps\project-tracker\docs\metrics\backups\sprint-plan-20251218-234711.csv","artifacts\backups\sprint-plan\sprint-plan-20251218-234711.csv","CSV backups are runtime artifacts","2025-12-19T22:25:28Z"
"apps\project-tracker\docs\metrics\backups\sprint-plan-20251218-234743.csv","artifacts\backups\sprint-plan\sprint-plan-20251218-234743.csv","CSV backups are runtime artifacts","2025-12-19T22:25:28Z"
"apps\project-tracker\docs\metrics\backups\sprint-plan-20251218-235206.csv","artifacts\backups\sprint-plan\sprint-plan-20251218-235206.csv","CSV backups are runtime artifacts","2025-12-19T22:25:28Z"
"apps\project-tracker\docs\metrics\backups\sprint-plan-20251218-235309.csv","artifacts\backups\sprint-plan\sprint-plan-20251218-235309.csv","CSV backups are runtime artifacts","2025-12-19T22:25:28Z"
"apps\project-tracker\docs\metrics\backups\sprint-plan-20251218-235318.csv","artifacts\backups\sprint-plan\sprint-plan-20251218-235318.csv","CSV backups are runtime artifacts","2025-12-19T22:25:28Z"
"apps\project-tracker\docs\metrics\backups\sprint-plan-20251218-235503.csv","artifacts\backups\sprint-plan\sprint-plan-20251218-235503.csv","CSV backups are runtime artifacts","2025-12-19T22:25:28Z"
"apps\project-tracker\docs\metrics\backups\sprint-plan-20251219-001116.csv","artifacts\backups\sprint-plan\sprint-plan-20251219-001116.csv","CSV backups are runtime artifacts","2025-12-19T22:25:28Z"
"apps\project-tracker\docs\metrics\backups\sprint-plan-20251219-001215.csv","artifacts\backups\sprint-plan\sprint-plan-20251219-001215.csv","CSV backups are runtime artifacts","2025-12-19T22:25:28Z"
"apps\project-tracker\docs\metrics\backups\sprint-plan-20251219-001220.csv","artifacts\backups\sprint-plan\sprint-plan-20251219-001220.csv","CSV backups are runtime artifacts","2025-12-19T22:25:28Z"
"apps\project-tracker\docs\metrics\backups\sprint-plan-20251219-001335.csv","artifacts\backups\sprint-plan\sprint-plan-20251219-001335.csv","CSV backups are runtime artifacts","2025-12-19T22:25:28Z"
"apps\project-tracker\docs\metrics\backups\sprint-plan-20251219-001336.csv","artifacts\backups\sprint-plan\sprint-plan-20251219-001336.csv","CSV backups are runtime artifacts","2025-12-19T22:25:28Z"
"apps\project-tracker\docs\metrics\logs\swarm\ENV-008-AI.log","artifacts\logs\swarm\ENV-008-AI.log","Swarm logs are runtime artifacts","2025-12-19T22:25:28Z"
"apps\project-tracker\docs\metrics\logs\swarm\ENV-014-AI.log","artifacts\logs\swarm\ENV-014-AI.log","Swarm logs are runtime artifacts","2025-12-19T22:25:28Z"
"apps\project-tracker\docs\metrics\logs\swarm\ENV-015-AI.log","artifacts\logs\swarm\ENV-015-AI.log","Swarm logs are runtime artifacts","2025-12-19T22:25:28Z"
"apps\project-tracker\docs\metrics\artifacts\reports\audit-report.json","artifacts\reports\validation\audit-report.json","Validation reports are runtime artifacts","2025-12-19T22:25:28Z"
"apps\project-tracker\docs\metrics\artifacts\reports\validation-ENV-007-AI.json","artifacts\reports\validation\validation-ENV-007-AI.json","Validation reports are runtime artifacts","2025-12-19T22:25:28Z"
"apps\project-tracker\docs\metrics\artifacts\reports\validation-ENV-012-AI.json","artifacts\reports\validation\validation-ENV-012-AI.json","Validation reports are runtime artifacts","2025-12-19T22:25:28Z"
"apps\project-tracker\docs\metrics\artifacts\reports\validation-IFC-160.json","artifacts\reports\validation\validation-IFC-160.json","Validation reports are runtime artifacts","2025-12-19T22:25:28Z"
"apps\project-tracker\docs\metrics\orchestrator.sh","scripts\swarm\orchestrator.sh","Shell script is source code not metrics",""
"apps\project-tracker\docs\metrics\swarm-manager.sh","scripts\swarm\swarm-manager.sh","Shell script is source code not metrics",""
